Material;        Total Stock 
 B1ZMI09100 ;-110
 HBG43S360Q ;-110
 KG39NXB35 ;-110
 KGN39VL35G ;-110
 TTA2201 ;-110
 WAT24662IR ;-110
 HGA120B51M ;-109
 HKR39I120 ;-109
 HXA090D50 ;-109
 Q8A0024670 ;-109
 HBF113BS1 ;-108
 HBF514BB0R ;-108
 HGA120E59S ;-108
 HKA050020W ;-108
 HKQ38A150M ;-108
 HQA050020W ;-108
 HXS59AI20Q ;-108
 KDV58VL30 ;-108
 KGN56AB30N ;-108
 HBF534EW0T ;-107
 HXA050F50Q ;-107
 HXA090I20R ;-107
 HXC39AE50Q ;-107
 KGE39VI4A ;-107
 SMI46AS04E ;-107
 KGN56LB3E8 ;-106
 Q8A0024676 ;-106
 OB30P2B80D ;-105
 FI50Z000 ;-104
 HXS59BD50 ;-104
 KG76NAI32N ;-104
 HBN211E2M ;-103
 KGD86AI304 ;-103
 KD43VVW20M ;-102
 KGD76AI304 ;-102
 KGN56VI3E8 ;-102
 KGN86AW30L ;-101
 3VS303IP ;-100
 ET775FG17E ;-100
 GC24MAW22N ;-100
 Q8A0024477 ;-100
 Q8A0024479 ;-100
 Q8A0024480 ;-100
 Q8A0024482 ;-100
 Q8A0024487 ;-100
 Q8A0024492 ;-100
 Q8A0024521 ;-100
 Q8A0024534 ;-100
 Q8A0024541 ;-100
 Q8A0024542 ;-100
 Q8A0025678 ;-100
 Q8A0025680 ;-100
 Q8A0027098 ;-100
 Q8A0029071 ;-100
 Q8A0029077 ;-100
 Q8A0029470 ;-100
 Q8A0029517 ;-100
 Q8A0029524 ;-100
 Q8A0029536 ;-100
 Q8A0029543 ;-100
 Q8A0029545 ;-100
 Q8A0029550 ;-100
 Q8A0029565 ;-100
 Q8A0029572 ;-100
 Q8A0029715 ;-100
 SMS40D12EU ;-100
 SMS45IW01B ;-100
 SMS67MI01B ;-100
 SMS67TW02B ;-100
 WAT2846XME ;-100
 WAT2848SEG ;-100
 WM14T67XZA ;-100
 3HB2010B0 ;-99
 KG56NVI30N ;-99
 KG58EDL30N ;-99
 WAB20262ME ;-99
 WAT28682IR ;-99
 3VS303BP ;-98
 DF6228W2AV ;-98
 KG39EVW4A ;-98
 KGV39VL3B ;-98
 SMS45NW00T ;-98
 ZKZ518750 ;-98
 HGA22B120Q ;-97
 WAB20262BY ;-97
 WIS28440OE ;-97
 FRTA113B ;-96
 HB534FER0T ;-96
 HE010FBR0C ;-96
 KDV58VW304 ;-96
 KGN39XI38 ;-96
 RA010010CH ;-96
 SMS40E32EU ;-96
